# kotlin-native-select: the lib/native tree DevPluginPresignedNativeRecipeRuntime wrote and the jar entries it left for intellij.platform.vcs.plugin, golden-2026-09-18, frozen from the dev-dist remainder of each platform.
# fixture	path	kind (directory, file, or a jar entry)	mode	sha256
windows_aarch64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
windows_aarch64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
windows_aarch64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
windows_aarch64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
windows_aarch64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
windows_x64	.distribution-root/lib/native	directory	0755	-
windows_x64	.distribution-root/lib/native/win-x86_64	directory	0755	-
windows_x64	.distribution-root/lib/native/win-x86_64/sqliteij.dll	file	0644	b15d99d8f96ffbc3730fa492b1eb55dd128af2b9a18a1ed1da03bef57bb770b1
windows_x64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
windows_x64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
windows_x64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
windows_x64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
windows_x64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
windows_x64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
