Name,Template,Reference
rtploopback,audio/rtploopback,[RFC6849]
rtp-midi,,[RFC6295]
rtx,,[RFC4588]
SMV,,[RFC3558]
SMV0,,[RFC3558]
SMV-QCP,,[RFC3625]
sp-midi,audio/sp-midi,[Timo_Kosonen][Tom_White]
speex,,[RFC5574]
t140c,,[RFC4351]
t38,,[RFC4612]
telephone-event,,[RFC4733]
tone,,[RFC4733]
UEMCLIP,,[RFC5686]
ulpfec,,[RFC5109]
VDVI,,[RFC4856]
VMR-WB,,[RFC4348][RFC4424]
vnd.3gpp.iufp,audio/vnd.3gpp.iufp,[Thomas_Belling]
vnd.4SB,audio/vnd.4SB,[Serge_De_Jaham]
vnd.audiokoz,audio/vnd.audiokoz,[Vicki_DeBarros]
vnd.CELP,audio/vnd.CELP,[Serge_De_Jaham]
vnd.cisco.nse,audio/vnd.cisco.nse,[Rajesh_Kumar]
vnd.cmles.radio-events,audio/vnd.cmles.radio-events,[Jean-Philippe_Goulet]
vnd.cns.anp1,audio/vnd.cns.anp1,[Ann_McLaughlin]
vnd.cns.inf1,audio/vnd.cns.inf1,[Ann_McLaughlin]
vnd.dece.audio,audio/vnd.dece.audio,[Michael_A_Dolan]
vnd.digital-winds,audio/vnd.digital-winds,[Armands_Strazds]
vnd.dlna.adts,audio/vnd.dlna.adts,[Edwin_Heredia]
vnd.dolby.heaac.1,audio/vnd.dolby.heaac.1,[Steve_Hattersley]
vnd.dolby.heaac.2,audio/vnd.dolby.heaac.2,[Steve_Hattersley]
vnd.dolby.mlp,audio/vnd.dolby.mlp,[Mike_Ward]
vnd.dolby.mps,audio/vnd.dolby.mps,[Steve_Hattersley]
vnd.dolby.pl2,audio/vnd.dolby.pl2,[Steve_Hattersley]
vnd.dolby.pl2x,audio/vnd.dolby.pl2x,[Steve_Hattersley]
vnd.dolby.pl2z,audio/vnd.dolby.pl2z,[Steve_Hattersley]
vnd.dolby.pulse.1,audio/vnd.dolby.pulse.1,[Steve_Hattersley]
vnd.dra,audio/vnd.dra,[Jiang_Tian]
vnd.dts,audio/vnd.dts,[William_Zou]
vnd.dts.hd,audio/vnd.dts.hd,[William_Zou]
vnd.dvb.file,audio/vnd.dvb.file,[Peter_Siebert]
vnd.everad.plj,audio/vnd.everad.plj,[Shay_Cicelsky]
vnd.hns.audio,audio/vnd.hns.audio,[Swaminathan]
vnd.lucent.voice,audio/vnd.lucent.voice,[Greg_Vaudreuil]
vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,[Steve_DiAcetis]
vnd.nokia.mobile-xmf,audio/vnd.nokia.mobile-xmf,[Nokia]
vnd.nortel.vbk,audio/vnd.nortel.vbk,[Glenn_Parsons]
vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,[Michael_Fox]
vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,[Michael_Fox]
vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,[Michael_Fox]
vnd.octel.sbc,audio/vnd.octel.sbc,[Greg_Vaudreuil]
vnd.qcelp - DEPRECATED - Please see: audio/qcelp,audio/vnd.qcelp,[RFC3625]
vnd.rhetorex.32kadpcm,audio/vnd.rhetorex.32kadpcm,[Greg_Vaudreuil]
vnd.rip,audio/vnd.rip,[Martin_Dawe]
vnd.sealedmedia.softseal.mpeg,audio/vnd.sealedmedia.softseal-mpeg,[David_Petersen]
vnd.vmx.cvsd,audio/vnd.vmx.cvsd,[Greg_Vaudreuil]
vorbis,,[RFC5215]
vorbis-config,,[RFC5215]
