Name,Template,Reference
http,application/http,[RFC-ietf-httpbis-p1-messaging-26]
hyperstudio,application/hyperstudio,[Michael_Domino]
ibe-key-request+xml,,[RFC5408]
ibe-pkg-reply+xml,,[RFC5408]
ibe-pp-data,,[RFC5408]
iges,application/iges,[Curtis_Parks]
im-iscomposing+xml,,[RFC3994]
index,,[RFC2652]
index.cmd,,[RFC2652]
index.obj,,[RFC2652]
index.response,,[RFC2652]
index.vnd,,[RFC2652]
inkml+xml,application/inkml+xml,[Kazuyuki_Ashimura]
iotp,,[RFC2935]
ipfix,,[RFC5655]
ipp,,[RFC2910]
isup,,[RFC3204]
its+xml,application/its+xml,[W3C][ITS-IG-W3C]
javascript,,[RFC4329]
jrd+json,application/jrd+json,[RFC7033]
json,application/json,[RFC7158]
json-patch+json,application/json-patch+json,[RFC6902]
kpml-request+xml,,[RFC4730]
kpml-response+xml,,[RFC4730]
ld+json,application/ld+json,[W3C][Ivan_Herman]
load-control+xml,application/load-control+xml,[RFC-ietf-soc-load-control-event-package-13]
link-format,,[RFC6690]
lost+xml,,[RFC5222]
lostsync+xml,,[RFC6739]
mac-binhex40,application/mac-binhex40,[Patrik_Faltstrom]
macwriteii,application/macwriteii,[Paul_Lindner]
mads+xml,,[RFC6207]
marc,,[RFC2220]
marcxml+xml,,[RFC6207]
mathematica,application/mathematica,[Wolfram]
mathml-content+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mathml-presentation+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mathml+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml,[ThreeGPP]
mbms-deregister+xml,application/mbms-deregister+xml,[ThreeGPP]
mbms-envelope+xml,application/mbms-envelope+xml,[ThreeGPP]
mbms-msk-response+xml,application/mbms-msk-response+xml,[ThreeGPP]
mbms-msk+xml,application/mbms-msk+xml,[ThreeGPP]
mbms-protection-description+xml,application/mbms-protection-description+xml,[ThreeGPP]
mbms-reception-report+xml,application/mbms-reception-report+xml,[ThreeGPP]
mbms-register-response+xml,application/mbms-register-response+xml,[ThreeGPP]
mbms-register+xml,application/mbms-register+xml,[ThreeGPP]
mbms-schedule+xml,application/mbms-schedule+xml,[ThreeGPP][Eric_Turcotte]
mbms-user-service-description+xml,application/mbms-user-service-description+xml,[ThreeGPP]
mbox,,[RFC4155]
media_control+xml,,[RFC5168]
media-policy-dataset+xml,,[RFC6796]
mediaservercontrol+xml,,[RFC5022]
metalink4+xml,,[RFC5854]
mets+xml,,[RFC6207]
mikey,,[RFC3830]
mods+xml,,[RFC6207]
moss-keys,,[RFC1848]
moss-signature,,[RFC1848]
mosskey-data,,[RFC1848]
mosskey-request,,[RFC1848]
mp21,application/mp21,[RFC6381][David_Singer]
mp4,,[RFC4337][RFC6381]
mpeg4-generic,,[RFC3640]
mpeg4-iod,,[RFC4337]
mpeg4-iod-xmt,,[RFC4337]
mrb-consumer+xml,application/mrb-consumer+xml,[RFC6917]
mrb-publish+xml,application/mrb-publish+xml,[RFC6917]
msc-ivr+xml,,[RFC6231]
msc-mixer+xml,,[RFC6505]
msword,application/msword,[Paul_Lindner]
mxf,,[RFC4539]
nasdata,,[RFC4707]
news-checkgroups,,[RFC5537]
news-groupinfo,,[RFC5537]
news-transmission,,[RFC5537]
nlsml+xml,,[RFC6787]
nss,application/nss,[Michael_Hammer]
ocsp-request,,[RFC6960]
ocsp-response,,[RFC6960]
octet-stream,,[RFC2045][RFC2046]
oda,,[RFC2045][RFC2046]
ODX,application/ODX,[ASAM][Thomas_Thomsen]
oebps-package+xml,,[RFC4839]
ogg,,[RFC5334]
oxps,application/oxps,[Ecma_International_Helpdesk]
p2p-overlay+xml,application/p2p-overlay+xml,[RFC6940]
parityfec,,[RFC5109]
patch-ops-error+xml,,[RFC5261]
pdf,,[RFC3778]
PDX,application/PDX,[ASAM][Thomas_Thomsen]
pgp-encrypted,,[RFC3156]
pgp-keys,,[RFC3156]
pgp-signature,,[RFC3156]
pidf+xml,application/pidfxml,[RFC3863]
pidf-diff+xml,,[RFC5262]
pkcs10,,[RFC5967]
pkcs7-mime,,[RFC5751][RFC7114]
pkcs7-signature,,[RFC5751]
pkcs8,,[RFC5958]
pkix-attr-cert,,[RFC5877]
pkix-cert,,[RFC2585]
pkixcmp,,[RFC2510]
pkix-crl,,[RFC2585]
pkix-pkipath,,[RFC6066]
pls+xml,,[RFC4267]
poc-settings+xml,,[RFC4354]
postscript,,[RFC2045][RFC2046]
provenance+xml,application/provenance+xml,[W3C][Ivan_Herman]
prs.alvestrand.titrax-sheet,application/prs.alvestrand.titrax-sheet,[Harald_T._Alvestrand]
prs.cww,application/prs.cww,[Khemchart_Rungchavalnont]
prs.hpub+zip,application/prs.hpub+zip,[Giulio_Zambon]
prs.nprend,application/prs.nprend,[Jay_Doggett]
prs.plucker,application/prs.plucker,[Bill_Janssen]
prs.rdf-xml-crypt,application/prs.rdf-xml-crypt,[Toby_Inkster]
prs.xsf+xml,application/prs.xsf+xml,[Maik_Stührenberg]
pskc+xml,,[RFC6030]
rdf+xml,,[RFC3870]
qsig,,[RFC3204]
raptorfec,,[RFC6682]
reginfo+xml,,[RFC3680]
relax-ng-compact-syntax,application/relax-ng-compact-syntax,[http://www.jtc1sc34.org/repository/0661.pdf]
remote-printing,application/remote-printing,[RFC1486][Marshall_Rose]
reputon+json,application/reputon+json,[RFC7071]
resource-lists-diff+xml,,[RFC5362]
resource-lists+xml,,[RFC4826]
riscos,application/riscos,[Nick_Smith]
rlmi+xml,,[RFC4662]
rls-services+xml,,[RFC4826]
rpki-ghostbusters,,[RFC6493]
rpki-manifest,,[RFC6481]
rpki-roa,,[RFC6481]
rpki-updown,,[RFC6492]
rtf,application/rtf,[Paul_Lindner]
rtploopback,application/rtploopback,[RFC6849]
rtx,,[RFC4588]
samlassertion+xml,application/samlassertion+xml,[OASIS_Security_Services_Technical_Committee_SSTC]
samlmetadata+xml,application/samlmetadata+xml,[OASIS_Security_Services_Technical_Committee_SSTC]
sbml+xml,,[RFC3823]
scvp-cv-request,,[RFC5055]
scvp-cv-response,,[RFC5055]
scvp-vp-request,,[RFC5055]
scvp-vp-response,,[RFC5055]
sdp,,[RFC4566]
sep-exi,application/sep-exi,[Robby_Simpson][ZigBee]
sep+xml,application/sep+xml,[Robby_Simpson][ZigBee]
session-info,application/session-info,[ThreeGPP][Frederic_Firmin]
set-payment,application/set-payment,[Brian_Korver]
set-payment-initiation,application/set-payment-initiation,[Brian_Korver]
set-registration,application/set-registration,[Brian_Korver]
set-registration-initiation,application/set-registration-initiation,[Brian_Korver]
sgml,,[RFC1874]
sgml-open-catalog,application/sgml-open-catalog,[Paul_Grosso]
shf+xml,,[RFC4194]
sieve,,[RFC5228]
simple-filter+xml,,[RFC4661]
simple-message-summary,,[RFC3842]
simpleSymbolContainer,application/simpleSymbolContainer,[ThreeGPP]
slate,application/slate,[Terry_Crowley]
smil - OBSOLETE,,[RFC4536]
smil+xml,,[RFC4536]
smpte336m,,[RFC6597]
soap+fastinfoset,application/soap+fastinfoset,[ITU-T_ASN.1_Rapporteur]
soap+xml,,[RFC3902]
sparql-query,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType]
sparql-results+xml,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime]
spirits-event+xml,,[RFC3910]
sql,application/sql,[RFC6922]
srgs,,[RFC4267]
srgs+xml,,[RFC4267]
sru+xml,,[RFC6207]
ssml+xml,,[RFC4267]
tamp-apex-update,,[RFC5934]
tamp-apex-update-confirm,,[RFC5934]
tamp-community-update,,[RFC5934]
tamp-community-update-confirm,,[RFC5934]
tamp-error,,[RFC5934]
tamp-sequence-adjust,,[RFC5934]
tamp-sequence-adjust-confirm,,[RFC5934]
tamp-status-query,,[RFC5934]
tamp-status-response,,[RFC5934]
tamp-update,,[RFC5934]
tamp-update-confirm,,[RFC5934]
tei+xml,,[RFC6129]
thraud+xml,,[RFC5941]
timestamp-query,,[RFC3161]
timestamp-reply,,[RFC3161]
timestamped-data,,[RFC5955]
ttml+xml,application/ttml+xml,[W3C][W3C_Timed_Text_Working_Group]
tve-trigger,application/tve-trigger,[Linda_Welsh]
ulpfec,,[RFC5109]
urc-grpsheet+xml,application/urc-grpsheet+xml,[Gottfried_Zimmermann][ISO-IEC JTC1]
urc-ressheet+xml,application/urc-ressheet+xml,[Gottfried_Zimmermann][ISO-IEC JTC1]
urc-targetdesc+xml,application/urc-targetdesc+xml,[Gottfried_Zimmermann][ISO-IEC JTC1]
urc-uisocketdesc+xml,application/urc-uisocketdesc+xml,[Gottfried_Zimmermann]
vcard+json,application/vcard+json,[RFC7095]
vcard+xml,,[RFC6351]
vemmi,,[RFC2122]
vnd.3gpp.bsf+xml,application/vnd.3gpp.bsf+xml,[John_M_Meredith]
vnd.3gpp.pic-bw-large,application/vnd.3gpp.pic-bw-large,[John_M_Meredith]
vnd.3gpp.pic-bw-small,application/vnd.3gpp.pic-bw-small,[John_M_Meredith]
vnd.3gpp.pic-bw-var,application/vnd.3gpp.pic-bw-var,[John_M_Meredith]
vnd.3gpp.sms,application/vnd.3gpp.sms,[John_M_Meredith]
vnd.3gpp2.bcmcsinfo+xml,application/vnd.3gpp2.bcmcsinfo+xml,[Andy_Dryden]
vnd.3gpp2.sms,application/vnd.3gpp2.sms,[AC_Mahendran]
vnd.3gpp2.tcap,application/vnd.3gpp2.tcap,[AC_Mahendran]
vnd.3M.Post-it-Notes,application/vnd.3M.Post-it-Notes,[Michael_OBrien]
vnd.accpac.simply.aso,application/vnd.accpac.simply.aso,[Steve_Leow]
vnd.accpac.simply.imp,application/vnd.accpac.simply.imp,[Steve_Leow]
vnd.acucobol,application/vnd-acucobol,[Dovid_Lubin]
vnd.acucorp,application/vnd.acucorp,[Dovid_Lubin]
vnd.adobe.flash.movie,application/vnd.adobe.flash-movie,[Henrik_Andersson]
vnd.adobe.formscentral.fcdt,application/vnd.adobe.formscentral.fcdt,[Chris_Solc]
vnd.adobe.fxp,application/vnd.adobe.fxp,[Robert_Brambley][Steven_Heintz]
vnd.adobe.partial-upload,application/vnd.adobe.partial-upload,[Tapani_Otala]
vnd.adobe.xdp+xml,application/vnd.adobe.xdp+xml,[John_Brinkman]
vnd.adobe.xfdf,application/vnd.adobe.xfdf,[Roberto_Perelman]
vnd.aether.imp,application/vnd.aether.imp,[Jay_Moskowitz]
vnd.ah-barcode,application/vnd.ah-barcode,[Katsuhiko_Ichinose]
vnd.ahead.space,application/vnd.ahead.space,[Tor_Kristensen]
vnd.airzip.filesecure.azf,application/vnd.airzip.filesecure.azf,[Daniel_Mould][Gary_Clueit]
vnd.airzip.filesecure.azs,application/vnd.airzip.filesecure.azs,[Daniel_Mould][Gary_Clueit]
vnd.americandynamics.acc,application/vnd.americandynamics.acc,[Gary_Sands]
vnd.amiga.ami,application/vnd.amiga.ami,[Kevin_Blumberg]
vnd.amundsen.maze+xml,application/vnd.amundsen.maze+xml,[Mike_Amundsen]
vnd.anser-web-certificate-issue-initiation,application/vnd.anser-web-certificate-issue-initiation,[Hiroyoshi_Mori]
vnd.antix.game-component,application/vnd.antix.game-component,[Daniel_Shelton]
vnd.api+json,application/vnd.api+json,[Steve_Klabnik]
vnd.apple.mpegurl,application/vnd.apple.mpegurl,[David_Singer][Roger_Pantos]
vnd.apple.installer+xml,application/vnd.apple.installer+xml,[Peter_Bierman]
vnd.arastra.swi - OBSOLETE,application/vnd.arastra.swi,[Bill_Fenner]
vnd.aristanetworks.swi,application/vnd.aristanetworks.swi,[Bill_Fenner]
vnd.astraea-software.iota,application/vnd.astraea-software.iota,[Christopher_Snazell]
vnd.audiograph,application/vnd.audiograph,[Horia_Cristian_Slusanschi]
vnd.autopackage,application/vnd.autopackage,[Mike_Hearn]
vnd.avistar+xml,application/vnd.avistar+xml,[Vladimir_Vysotsky]
vnd.balsamiq.bmml+xml,application/vnd.balsamiq.bmml+xml,[Giacomo_Guilizzoni]
vnd.bekitzur-stech+json,application/vnd.bekitzur-stech+json,[Jegulsky]
vnd.blueice.multipass,application/vnd.blueice.multipass,[Thomas_Holmstrom]
vnd.bluetooth.ep.oob,application/vnd.bluetooth.ep.oob,[Mike_Foley]
vnd.bluetooth.le.oob,application/vnd.bluetooth.le.oob,[Mark_Powell]
vnd.bmi,application/vnd.bmi,[Tadashi_Gotoh]
vnd.businessobjects,application/vnd.businessobjects,[Philippe_Imoucha]
vnd.cab-jscript,application/vnd.cab-jscript,[Joerg_Falkenberg]
vnd.canon-cpdl,application/vnd.canon-cpdl,[Shin_Muto]
vnd.canon-lips,application/vnd.canon-lips,[Shin_Muto]
vnd.cendio.thinlinc.clientconf,application/vnd.cendio.thinlinc.clientconf,[Peter_Astrand]
vnd.century-systems.tcp_stream,application/vnd.century-systems.tcp_stream,[Shuji_Fujii]
vnd.chemdraw+xml,application/vnd.chemdraw+xml,[Glenn_Howes]
vnd.chipnuts.karaoke-mmd,application/vnd.chipnuts.karaoke-mmd,[Chunyun_Xiong]
vnd.cinderella,application/vnd.cinderella,[Ulrich_Kortenkamp]
vnd.cirpack.isdn-ext,application/vnd.cirpack.isdn-ext,[Pascal_Mayeux]
vnd.claymore,application/vnd.claymore,[Ray_Simpson]
vnd.cloanto.rp9,application/vnd.cloanto.rp9,[Mike_Labatt]
vnd.clonk.c4group,application/vnd.clonk.c4group,[Guenther_Brammer]
vnd.cluetrust.cartomobile-config,application/vnd.cluetrust.cartomobile-config,[Gaige_Paulsen]
vnd.cluetrust.cartomobile-config-pkg,application/vnd.cluetrust.cartomobile-config-pkg,[Gaige_Paulsen]
vnd.collection.doc+json,application/vnd.collection.doc+json,[Irakli_Nadareishvili]
vnd.collection+json,application/vnd.collection+json,[Mike_Amundsen]
vnd.collection.next+json,application/vnd.collection.next+json,[Ioseb_Dzmanashvili]
vnd.commerce-battelle,application/vnd.commerce-battelle,[David_Applebaum]
vnd.commonspace,application/vnd.commonspace,[Ravinder_Chandhok]
vnd.cosmocaller,application/vnd.cosmocaller,[Steve_Dellutri]
vnd.contact.cmsg,application/vnd.contact.cmsg,[Frank_Patz]
vnd.crick.clicker,application/vnd.crick.clicker,[Andrew_Burt]
vnd.crick.clicker.keyboard,application/vnd.crick.clicker.keyboard,[Andrew_Burt]
vnd.crick.clicker.palette,application/vnd.crick.clicker.palette,[Andrew_Burt]
vnd.crick.clicker.template,application/vnd.crick.clicker.template,[Andrew_Burt]
vnd.crick.clicker.wordbank,application/vnd.crick.clicker.wordbank,[Andrew_Burt]
vnd.criticaltools.wbs+xml,application/vnd.criticaltools.wbs+xml,[Jim_Spiller]
vnd.ctc-posml,application/vnd.ctc-posml,[Bayard_Kohlhepp]
vnd.ctct.ws+xml,application/vnd.ctct.ws+xml,[Jim_Ancona]
vnd.cups-pdf,application/vnd.cups-pdf,[Michael_Sweet]
vnd.cups-postscript,application/vnd.cups-postscript,[Michael_Sweet]
vnd.cups-ppd,application/vnd.cups-ppd,[Michael_Sweet]
vnd.cups-raster,application/vnd.cups-raster,[Michael_Sweet]
vnd.cups-raw,application/vnd.cups-raw,[Michael_Sweet]
vnd.curl,application/vnd-curl,[Robert_Byrnes]
vnd.cyan.dean.root+xml,application/vnd.cyan.dean.root+xml,[Matt_Kern]
vnd.cybank,application/vnd.cybank,[Nor_Helmee]
vnd.dart,application/vnd-dart,[Anders_Sandholm]
vnd.data-vision.rdz,application/vnd.data-vision.rdz,[James_Fields]
vnd.dece.data,application/vnd.dece.data,[Michael_A_Dolan]
vnd.dece.ttml+xml,application/vnd.dece.ttml+xml,[Michael_A_Dolan]
vnd.dece.unspecified,application/vnd.dece.unspecified,[Michael_A_Dolan]
vnd.dece.zip,application/vnd.dece-zip,[Michael_A_Dolan]
vnd.denovo.fcselayout-link,application/vnd.denovo.fcselayout-link,[Michael_Dixon]
vnd.desmume.movie,application/vnd.desmume-movie,[Henrik_Andersson]
vnd.dir-bi.plate-dl-nosuffix,application/vnd.dir-bi.plate-dl-nosuffix,[Yamanaka]
vnd.dm.delegation+xml,application/vnd.dm.delegation+xml,[Axel_Ferrazzini]
vnd.dna,application/vnd.dna,[Meredith_Searcy]
vnd.document+json,application/vnd.document+json,[Tom_Christie]
vnd.dolby.mobile.1,application/vnd.dolby.mobile.1,[Steve_Hattersley]
vnd.dolby.mobile.2,application/vnd.dolby.mobile.2,[Steve_Hattersley]
vnd.dpgraph,application/vnd.dpgraph,[David_Parker]
vnd.dreamfactory,application/vnd.dreamfactory,[William_C._Appleton]
vnd.dtg.local,application/vnd.dtg.local,[Ali_Teffahi]
vnd.dtg.local.flash,application/vnd.dtg.local.flash,[Ali_Teffahi]
vnd.dtg.local.html,application/vnd.dtg.local.html,[Ali_Teffahi]
vnd.dvb.ait,application/vnd.dvb.ait,[Peter_Siebert][Michael_Lagally]
vnd.dvb.dvbj,application/vnd.dvb.dvbj,[Peter_Siebert][Michael_Lagally]
vnd.dvb.esgcontainer,application/vnd.dvb.esgcontainer,[Joerg_Heuer]
vnd.dvb.ipdcdftnotifaccess,application/vnd.dvb.ipdcdftnotifaccess,[Roy_Yue]
vnd.dvb.ipdcesgaccess,application/vnd.dvb.ipdcesgaccess,[Joerg_Heuer]
vnd.dvb.ipdcesgaccess2,application/vnd.dvb.ipdcesgaccess2,[Jerome_Marcon]
vnd.dvb.ipdcesgpdd,application/vnd.dvb.ipdcesgpdd,[Jerome_Marcon]
vnd.dvb.ipdcroaming,application/vnd.dvb.ipdcroaming,[Yiling_Xu]
vnd.dvb.iptv.alfec-base,application/vnd.dvb.iptv.alfec-base,[Jean-Baptiste_Henry]
vnd.dvb.iptv.alfec-enhancement,application/vnd.dvb.iptv.alfec-enhancement,[Jean-Baptiste_Henry]
vnd.dvb.notif-aggregate-root+xml,application/vnd.dvb.notif-aggregate-root+xml,[Roy_Yue]
vnd.dvb.notif-container+xml,application/vnd.dvb.notif-container+xml,[Roy_Yue]
vnd.dvb.notif-generic+xml,application/vnd.dvb.notif-generic+xml,[Roy_Yue]
vnd.dvb.notif-ia-msglist+xml,application/vnd.dvb.notif-ia-msglist+xml,[Roy_Yue]
vnd.dvb.notif-ia-registration-request+xml,application/vnd.dvb.notif-ia-registration-request+xml,[Roy_Yue]
vnd.dvb.notif-ia-registration-response+xml,application/vnd.dvb.notif-ia-registration-response+xml,[Roy_Yue]
vnd.dvb.notif-init+xml,application/vnd.dvb.notif-init+xml,[Roy_Yue]
vnd.dvb.pfr,application/vnd.dvb.pfr,[Peter_Siebert][Michael_Lagally]
vnd.dvb.service,application/vnd.dvb_service,[Peter_Siebert][Michael_Lagally]
vnd.dxr,application/vnd-dxr,[Michael_Duffy]
vnd.dynageo,application/vnd.dynageo,[Roland_Mechling]
vnd.easykaraoke.cdgdownload,application/vnd.easykaraoke.cdgdownload,[Iain_Downs]
vnd.ecdis-update,application/vnd.ecdis-update,[Gert_Buettgenbach]
vnd.ecowin.chart,application/vnd.ecowin.chart,[Thomas_Olsson]
vnd.ecowin.filerequest,application/vnd.ecowin.filerequest,[Thomas_Olsson]
vnd.ecowin.fileupdate,application/vnd.ecowin.fileupdate,[Thomas_Olsson]
vnd.ecowin.series,application/vnd.ecowin.series,[Thomas_Olsson]
vnd.ecowin.seriesrequest,application/vnd.ecowin.seriesrequest,[Thomas_Olsson]
vnd.ecowin.seriesupdate,application/vnd.ecowin.seriesupdate,[Thomas_Olsson]
vnd.emclient.accessrequest+xml,application/vnd.emclient.accessrequest+xml,[Filip_Navara]
vnd.enliven,application/vnd.enliven,[Paul_Santinelli_Jr.]
vnd.eprints.data+xml,application/vnd.eprints.data+xml,[Tim_Brody]
vnd.epson.esf,application/vnd.epson.esf,[Shoji_Hoshina]
vnd.epson.msf,application/vnd.epson.msf,[Shoji_Hoshina]
vnd.epson.quickanime,application/vnd.epson.quickanime,[Yu_Gu]
vnd.epson.salt,application/vnd.epson.salt,[Yasuhito_Nagatomo]
vnd.epson.ssf,application/vnd.epson.ssf,[Shoji_Hoshina]
vnd.ericsson.quickcall,application/vnd.ericsson.quickcall,[Paul_Tidwell]
vnd.eszigno3+xml,application/vnd.eszigno3+xml,[Szilveszter_Tóth]
vnd.etsi.aoc+xml,application/vnd.etsi.aoc+xml,[Shicheng_Hu]
vnd.etsi.asic-s+zip,application/vnd.etsi.asic-s+zip,[Miguel_Angel_Reina_Ortega]
vnd.etsi.asic-e+zip,application/vnd.etsi.asic-e+zip,[Miguel_Angel_Reina_Ortega]
vnd.etsi.cug+xml,application/vnd.etsi.cug+xml,[Shicheng_Hu]
vnd.etsi.iptvcommand+xml,application/vnd.etsi.iptvcommand+xml,[Shicheng_Hu]
vnd.etsi.iptvdiscovery+xml,application/vnd.etsi.iptvdiscovery+xml,[Shicheng_Hu]
vnd.etsi.iptvprofile+xml,application/vnd.etsi.iptvprofile+xml,[Shicheng_Hu]
vnd.etsi.iptvsad-bc+xml,application/vnd.etsi.iptvsad-bc+xml,[Shicheng_Hu]
vnd.etsi.iptvsad-cod+xml,application/vnd.etsi.iptvsad-cod+xml,[Shicheng_Hu]
vnd.etsi.iptvsad-npvr+xml,application/vnd.etsi.iptvsad-npvr+xml,[Shicheng_Hu]
vnd.etsi.iptvservice+xml,application/vnd.etsi.iptvservice+xml,[Miguel_Angel_Reina_Ortega]
vnd.etsi.iptvsync+xml,application/vnd.etsi.iptvsync+xml,[Miguel_Angel_Reina_Ortega]
vnd.etsi.iptvueprofile+xml,application/vnd.etsi.iptvueprofile+xml,[Shicheng_Hu]
vnd.etsi.mcid+xml,application/vnd.etsi.mcid+xml,[Shicheng_Hu]
vnd.etsi.mheg5,application/vnd.etsi.mheg5,[Miguel_Angel_Reina_Ortega][Ian_Medland]
vnd.etsi.overload-control-policy-dataset+xml,application/vnd.etsi.overload-control-policy-dataset+xml,[Miguel_Angel_Reina_Ortega]
vnd.etsi.pstn+xml,application/vnd.etsi.pstn+xml,[Jiwan_Han][Thomas_Belling]
vnd.etsi.sci+xml,application/vnd.etsi.sci+xml,[Shicheng_Hu]
vnd.etsi.simservs+xml,application/vnd.etsi.simservs+xml,[Shicheng_Hu]
vnd.etsi.timestamp-token,application/vnd.etsi.timestamp-token,[Miguel_Angel_Reina_Ortega]
vnd.etsi.tsl+xml,application/vnd.etsi.tsl+xml,[Shicheng_Hu]
vnd.etsi.tsl.der,application/vnd.etsi.tsl.der,[Shicheng_Hu]
vnd.eudora.data,application/vnd.eudora.data,[Pete_Resnick]
vnd.ezpix-album,application/vnd.ezpix-album,[ElectronicZombieCorp]
vnd.ezpix-package,application/vnd.ezpix-package,[ElectronicZombieCorp]
vnd.f-secure.mobile,application/vnd.f-secure.mobile,[Samu_Sarivaara]
vnd.fdf,application/vnd-fdf,[Steve_Zilles]
vnd.fdsn.mseed,application/vnd.fdsn.mseed,[Chad_Trabant]
vnd.fdsn.seed,application/vnd.fdsn.seed,[Chad_Trabant]
vnd.ffsns,application/vnd.ffsns,[Holstage]
vnd.fints,application/vnd.fints,[Ingo_Hammann]
vnd.FloGraphIt,application/vnd.FloGraphIt,[Dick_Floersch]
vnd.fluxtime.clip,application/vnd.fluxtime.clip,[Marc_Winter]
vnd.font-fontforge-sfd,application/vnd.font-fontforge-sfd,[George_Williams]
vnd.framemaker,application/vnd.framemaker,[Mike_Wexler]
vnd.frogans.fnc,application/vnd.frogans.fnc,[Alexis_Tamas]
vnd.frogans.ltf,application/vnd.frogans.ltf,[Alexis_Tamas]
vnd.fsc.weblaunch,application/vnd.fsc.weblaunch,[Derek_Smith]
vnd.fujitsu.oasys,application/vnd.fujitsu.oasys,[Nobukazu_Togashi]
vnd.fujitsu.oasys2,application/vnd.fujitsu.oasys2,[Nobukazu_Togashi]
