Name,Template,Reference
beep+xml,application/beep+xml,[RFC3080]
calendar+json,application/calendar+json,[RFC7265]
calendar+xml,application/calendar+xml,[RFC6321]
call-completion,application/call-completion,[RFC6910]
CALS-1840,application/CALS-1840,[RFC1895]
cbor,application/cbor,[RFC7049]
cccex,application/cccex,[_3GPP]
ccmp+xml,application/ccmp+xml,[RFC6503]
ccxml+xml,application/ccxml+xml,[RFC4267]
CDFX+XML,application/CDFX+XML,[ASAM][Thomas_Thomsen]
cdmi-capability,application/cdmi-capability,[RFC6208]
cdmi-container,application/cdmi-container,[RFC6208]
cdmi-domain,application/cdmi-domain,[RFC6208]
cdmi-object,application/cdmi-object,[RFC6208]
cdmi-queue,application/cdmi-queue,[RFC6208]
cdni,application/cdni,[RFC7736]
CEA,application/CEA,[ASAM][Thomas_Thomsen]
cea-2018+xml,application/cea-2018+xml,[Gottfried_Zimmermann]
cellml+xml,application/cellml+xml,[RFC4708]
cfw,application/cfw,[RFC6230]
clue_info+xml,application/clue_info+xml,[RFC-ietf-clue-data-model-schema-17]
cms,application/cms,[RFC7193]
cnrp+xml,application/cnrp+xml,[RFC3367]
coap-group+json,application/coap-group+json,[RFC7390]
coap-payload,application/coap-payload,[RFC8075]
commonground,application/commonground,[David_Glazer]
conference-info+xml,application/conference-info+xml,[RFC4575]
cpl+xml,application/cpl+xml,[RFC3880]
cose,application/cose,[RFC8152]
cose-key,application/cose-key,[RFC8152]
cose-key-set,application/cose-key-set,[RFC8152]
csrattrs,application/csrattrs,[RFC7030]
csta+xml,application/csta+xml,[Ecma_International_Helpdesk]
CSTAdata+xml,application/CSTAdata+xml,[Ecma_International_Helpdesk]
csvm+json,application/csvm+json,[W3C][Ivan_Herman]
cwt,application/cwt,[RFC8392]
cybercash,application/cybercash,[Donald_E._Eastlake_3rd]
dash+xml,application/dash+xml,[Thomas_Stockhammer][ISO-IEC_JTC1]
dashdelta,application/dashdelta,[David_Furbeck]
davmount+xml,application/davmount+xml,[RFC4709]
dca-rft,application/dca-rft,[Larry_Campbell]
DCD,application/DCD,[ASAM][Thomas_Thomsen]
dec-dx,application/dec-dx,[Larry_Campbell]
dialog-info+xml,application/dialog-info+xml,[RFC4235]
dicom,application/dicom,[RFC3240]
dicom+json,application/dicom+json,[DICOM_Standards_Committee][David_Clunie][James_F_Philbin]
dicom+xml,application/dicom+xml,[DICOM_Standards_Committee][David_Clunie][James_F_Philbin]
DII,application/DII,[ASAM][Thomas_Thomsen]
DIT,application/DIT,[ASAM][Thomas_Thomsen]
dns,application/dns,[RFC4027]
dns+json,application/dns+json,[RFC8427]
dns-message,application/dns-message,[RFC8484]
dskpp+xml,application/dskpp+xml,[RFC6063]
dssc+der,application/dssc+der,[RFC5698]
dssc+xml,application/dssc+xml,[RFC5698]
dvcs,application/dvcs,[RFC3029]
ecmascript,application/ecmascript,[RFC4329]
EDI-consent,application/EDI-consent,[RFC1767]
EDIFACT,application/EDIFACT,[RFC1767]
EDI-X12,application/EDI-X12,[RFC1767]
efi,application/efi,[UEFI_Forum][Samer_El-Haj-Mahmoud]
EmergencyCallData.Comment+xml,application/EmergencyCallData.Comment+xml,[RFC7852]
EmergencyCallData.Control+xml,application/EmergencyCallData.Control+xml,[RFC8147]
EmergencyCallData.DeviceInfo+xml,application/EmergencyCallData.DeviceInfo+xml,[RFC7852]
EmergencyCallData.eCall.MSD,application/EmergencyCallData.eCall.MSD,[RFC8147]
EmergencyCallData.ProviderInfo+xml,application/EmergencyCallData.ProviderInfo+xml,[RFC7852]
EmergencyCallData.ServiceInfo+xml,application/EmergencyCallData.ServiceInfo+xml,[RFC7852]
EmergencyCallData.SubscriberInfo+xml,application/EmergencyCallData.SubscriberInfo+xml,[RFC7852]
EmergencyCallData.VEDS+xml,application/EmergencyCallData.VEDS+xml,[RFC8148]
emma+xml,,[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC_JTC1]
emotionml+xml,application/emotionml+xml,[W3C][Kazuyuki_Ashimura]
encaprtp,application/encaprtp,[RFC6849]
epp+xml,application/epp+xml,[RFC5730]
epub+zip,application/epub+zip,[International_Digital_Publishing_Forum][William_McCoy]
eshop,application/eshop,[Steve_Katz]
example,application/example,[RFC4735]
exi,,[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration]
expect-ct-report+json,application/expect-ct-report+json,[RFC-ietf-httpbis-expect-ct-08]
fastinfoset,application/fastinfoset,[ITU-T_ASN.1_Rapporteur]
fastsoap,application/fastsoap,[ITU-T_ASN.1_Rapporteur]
fdt+xml,application/fdt+xml,[RFC6726]
fhir+json,application/fhir+json,[HL7][Grahame_Grieve]
fhir+xml,application/fhir+xml,[HL7][Grahame_Grieve]
fits,application/fits,[RFC4047]
flexfec,application/flexfec,[RFC8627]
font-sfnt - DEPRECATED in favor of font/sfnt,application/font-sfnt,[Levantovsky][ISO-IEC_JTC1][RFC8081]
font-tdpfr,application/font-tdpfr,[RFC3073]
font-woff - DEPRECATED in favor of font/woff,application/font-woff,[W3C][RFC8081]
framework-attributes+xml,application/framework-attributes+xml,[RFC6230]
geo+json,application/geo+json,[RFC7946]
geo+json-seq,application/geo+json-seq,[RFC8142]
geopackage+sqlite3,application/geopackage+sqlite3,[OGC][Scott_Simmons]
geoxacml+xml,application/geoxacml+xml,[OGC][Scott_Simmons]
gltf-buffer,application/gltf-buffer,[Khronos][Saurabh_Bhatia]
gml+xml,application/gml+xml,[OGC][Clemens_Portele]
gzip,application/gzip,[RFC6713]
H224,application/H224,[RFC4573]
held+xml,application/held+xml,[RFC5985]
http,application/http,[RFC7230]
hyperstudio,application/hyperstudio,[Michael_Domino]
ibe-key-request+xml,application/ibe-key-request+xml,[RFC5408]
ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,[RFC5408]
ibe-pp-data,application/ibe-pp-data,[RFC5408]
iges,application/iges,[Curtis_Parks]
im-iscomposing+xml,application/im-iscomposing+xml,[RFC3994]
index,application/index,[RFC2652]
index.cmd,application/index.cmd,[RFC2652]
index.obj,application/index.obj,[RFC2652]
index.response,application/index.response,[RFC2652]
index.vnd,application/index.vnd,[RFC2652]
inkml+xml,application/inkml+xml,[Kazuyuki_Ashimura]
IOTP,application/IOTP,[RFC2935]
ipfix,application/ipfix,[RFC5655]
ipp,application/ipp,[RFC8010]
isup,application/isup,[RFC3204]
its+xml,application/its+xml,[W3C][ITS-IG-W3C]
javascript,application/javascript,[RFC4329]
jf2feed+json,application/jf2feed+json,[W3C][Ivan_Herman]
jose,application/jose,[RFC7515]
jose+json,application/jose+json,[RFC7515]
jrd+json,application/jrd+json,[RFC7033]
json,application/json,[RFC8259]
json-patch+json,application/json-patch+json,[RFC6902]
json-seq,application/json-seq,[RFC7464]
jwk+json,application/jwk+json,[RFC7517]
jwk-set+json,application/jwk-set+json,[RFC7517]
jwt,application/jwt,[RFC7519]
kpml-request+xml,application/kpml-request+xml,[RFC4730]
kpml-response+xml,application/kpml-response+xml,[RFC4730]
ld+json,application/ld+json,[W3C][Ivan_Herman]
lgr+xml,application/lgr+xml,[RFC7940]
link-format,application/link-format,[RFC6690]
load-control+xml,application/load-control+xml,[RFC7200]
lost+xml,application/lost+xml,[RFC5222]
lostsync+xml,application/lostsync+xml,[RFC6739]
LXF,application/LXF,[ASAM][Thomas_Thomsen]
mac-binhex40,application/mac-binhex40,[Patrik_Faltstrom]
macwriteii,application/macwriteii,[Paul_Lindner]
mads+xml,application/mads+xml,[RFC6207]
marc,application/marc,[RFC2220]
marcxml+xml,application/marcxml+xml,[RFC6207]
mathematica,application/mathematica,[Wolfram]
mathml-content+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mathml-presentation+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mathml+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml,[_3GPP]
mbms-deregister+xml,application/mbms-deregister+xml,[_3GPP]
mbms-envelope+xml,application/mbms-envelope+xml,[_3GPP]
mbms-msk-response+xml,application/mbms-msk-response+xml,[_3GPP]
mbms-msk+xml,application/mbms-msk+xml,[_3GPP]
mbms-protection-description+xml,application/mbms-protection-description+xml,[_3GPP]
mbms-reception-report+xml,application/mbms-reception-report+xml,[_3GPP]
mbms-register-response+xml,application/mbms-register-response+xml,[_3GPP]
mbms-register+xml,application/mbms-register+xml,[_3GPP]
mbms-schedule+xml,application/mbms-schedule+xml,[_3GPP][Eric_Turcotte]
mbms-user-service-description+xml,application/mbms-user-service-description+xml,[_3GPP]
mbox,application/mbox,[RFC4155]
media_control+xml,application/media_control+xml,[RFC5168]
media-policy-dataset+xml,application/media-policy-dataset+xml,[RFC6796]
mediaservercontrol+xml,application/mediaservercontrol+xml,[RFC5022]
merge-patch+json,application/merge-patch+json,[RFC7396]
metalink4+xml,application/metalink4+xml,[RFC5854]
mets+xml,application/mets+xml,[RFC6207]
MF4,application/MF4,[ASAM][Thomas_Thomsen]
mikey,application/mikey,[RFC3830]
mipc,application/mipc,[NCGIS][Bryan_Blank]
mmt-aei+xml,application/mmt-aei+xml,[ATSC]
mmt-usd+xml,application/mmt-usd+xml,[ATSC]
mods+xml,application/mods+xml,[RFC6207]
moss-keys,application/moss-keys,[RFC1848]
moss-signature,application/moss-signature,[RFC1848]
mosskey-data,application/mosskey-data,[RFC1848]
mosskey-request,application/mosskey-request,[RFC1848]
mp21,application/mp21,[RFC6381][David_Singer]
mp4,application/mp4,[RFC4337][RFC6381]
mpeg4-generic,application/mpeg4-generic,[RFC3640]
mpeg4-iod,application/mpeg4-iod,[RFC4337]
mpeg4-iod-xmt,application/mpeg4-iod-xmt,[RFC4337]
mrb-consumer+xml,application/mrb-consumer+xml,[RFC6917]
mrb-publish+xml,application/mrb-publish+xml,[RFC6917]
msc-ivr+xml,application/msc-ivr+xml,[RFC6231]
msc-mixer+xml,application/msc-mixer+xml,[RFC6505]
msword,application/msword,[Paul_Lindner]
mud+json,application/mud+json,[RFC8520]
mxf,application/mxf,[RFC4539]
n-quads,application/n-quads,[W3C][Eric_Prudhommeaux]
n-triples,application/n-triples,[W3C][Eric_Prudhommeaux]
nasdata,application/nasdata,[RFC4707]
news-checkgroups,application/news-checkgroups,[RFC5537]
news-groupinfo,application/news-groupinfo,[RFC5537]
news-transmission,application/news-transmission,[RFC5537]
nlsml+xml,application/nlsml+xml,[RFC6787]
node,application/node,[Node.js_TSC]
nss,application/nss,[Michael_Hammer]
ocsp-request,application/ocsp-request,[RFC6960]
ocsp-response,application/ocsp-response,[RFC6960]
octet-stream,application/octet-stream,[RFC2045][RFC2046]
ODA,application/ODA,[RFC1494]
odm+xml,application/odm+xml,[CDISC][Sam_Hume]
ODX,application/ODX,[ASAM][Thomas_Thomsen]
oebps-package+xml,application/oebps-package+xml,[RFC4839]
ogg,application/ogg,[RFC5334][RFC7845]
oscore,application/oscore,[RFC8613]
oxps,application/oxps,[Ecma_International_Helpdesk]
p2p-overlay+xml,application/p2p-overlay+xml,[RFC6940]
parityfec,,[RFC5109]
passport,application/passport,[RFC8225]
patch-ops-error+xml,application/patch-ops-error+xml,[RFC5261]
pdf,application/pdf,[RFC8118]
PDX,application/PDX,[ASAM][Thomas_Thomsen]
pem-certificate-chain,application/pem-certificate-chain,[RFC8555]
pgp-encrypted,application/pgp-encrypted,[RFC3156]
pgp-keys,,[RFC3156]
pgp-signature,application/pgp-signature,[RFC3156]
pidf-diff+xml,application/pidf-diff+xml,[RFC5262]
pidf+xml,application/pidf+xml,[RFC3863]
pkcs10,application/pkcs10,[RFC5967]
pkcs7-mime,application/pkcs7-mime,[RFC8551][RFC7114]
pkcs7-signature,application/pkcs7-signature,[RFC8551]
pkcs8,application/pkcs8,[RFC5958]
pkcs8-encrypted,application/pkcs8-encrypted,[RFC8351]
pkcs12,application/pkcs12,[IETF]
pkix-attr-cert,application/pkix-attr-cert,[RFC5877]
pkix-cert,application/pkix-cert,[RFC2585]
pkix-crl,application/pkix-crl,[RFC2585]
pkix-pkipath,application/pkix-pkipath,[RFC6066]
pkixcmp,application/pkixcmp,[RFC2510]
pls+xml,application/pls+xml,[RFC4267]
poc-settings+xml,application/poc-settings+xml,[RFC4354]
postscript,application/postscript,[RFC2045][RFC2046]
ppsp-tracker+json,application/ppsp-tracker+json,[RFC7846]
problem+json,application/problem+json,[RFC7807]
problem+xml,application/problem+xml,[RFC7807]
provenance+xml,application/provenance+xml,[W3C][Ivan_Herman]
prs.alvestrand.titrax-sheet,application/prs.alvestrand.titrax-sheet,[Harald_T._Alvestrand]
prs.cww,application/prs.cww,[Khemchart_Rungchavalnont]
prs.hpub+zip,application/prs.hpub+zip,[Giulio_Zambon]
prs.nprend,application/prs.nprend,[Jay_Doggett]
prs.plucker,application/prs.plucker,[Bill_Janssen]
prs.rdf-xml-crypt,application/prs.rdf-xml-crypt,[Toby_Inkster]
prs.xsf+xml,application/prs.xsf+xml,[Maik_Stührenberg]
pskc+xml,application/pskc+xml,[RFC6030]
rdf+xml,application/rdf+xml,[RFC3870]
route-apd+xml,application/route-apd+xml,[ATSC]
route-s-tsid+xml,application/route-s-tsid+xml,[ATSC]
route-usd+xml,application/route-usd+xml,[ATSC]
QSIG,application/QSIG,[RFC3204]
raptorfec,application/raptorfec,[RFC6682]
rdap+json,application/rdap+json,[RFC7483]
reginfo+xml,application/reginfo+xml,[RFC3680]
relax-ng-compact-syntax,application/relax-ng-compact-syntax,[http://www.jtc1sc34.org/repository/0661.pdf]
remote-printing,application/remote-printing,[RFC1486][Marshall_Rose]
reputon+json,application/reputon+json,[RFC7071]
resource-lists-diff+xml,application/resource-lists-diff+xml,[RFC5362]
resource-lists+xml,application/resource-lists+xml,[RFC4826]
rfc+xml,application/rfc+xml,[RFC7991]
riscos,application/riscos,[Nick_Smith]
rlmi+xml,application/rlmi+xml,[RFC4662]
rls-services+xml,application/rls-services+xml,[RFC4826]
rpki-ghostbusters,application/rpki-ghostbusters,[RFC6493]
rpki-manifest,application/rpki-manifest,[RFC6481]
rpki-publication,application/rpki-publication,[RFC8181]
rpki-roa,application/rpki-roa,[RFC6481]
rpki-updown,application/rpki-updown,[RFC6492]
rtf,application/rtf,[Paul_Lindner]
rtploopback,application/rtploopback,[RFC6849]
rtx,application/rtx,[RFC4588]
samlassertion+xml,application/samlassertion+xml,[OASIS_Security_Services_Technical_Committee_SSTC]
samlmetadata+xml,application/samlmetadata+xml,[OASIS_Security_Services_Technical_Committee_SSTC]
sbml+xml,application/sbml+xml,[RFC3823]
scaip+xml,application/scaip+xml,[SIS][Oskar_Jonsson]
scim+json,application/scim+json,[RFC7644]
scvp-cv-request,application/scvp-cv-request,[RFC5055]
scvp-cv-response,application/scvp-cv-response,[RFC5055]
scvp-vp-request,application/scvp-vp-request,[RFC5055]
scvp-vp-response,application/scvp-vp-response,[RFC5055]
sdp,application/sdp,[RFC4566]
secevent+jwt,application/secevent+jwt,[RFC8417]
senml-exi,application/senml-exi,[RFC8428]
senml+cbor,application/senml+cbor,[RFC8428]
senml+json,application/senml+json,[RFC8428]
senml+xml,application/senml+xml,[RFC8428]
sensml-exi,application/sensml-exi,[RFC8428]
sensml+cbor,application/sensml+cbor,[RFC8428]
sensml+json,application/sensml+json,[RFC8428]
sensml+xml,application/sensml+xml,[RFC8428]
sep-exi,application/sep-exi,[Robby_Simpson][ZigBee]
sep+xml,application/sep+xml,[Robby_Simpson][ZigBee]
session-info,application/session-info,[_3GPP][Frederic_Firmin]
set-payment,application/set-payment,[Brian_Korver]
set-payment-initiation,application/set-payment-initiation,[Brian_Korver]
set-registration,application/set-registration,[Brian_Korver]
set-registration-initiation,application/set-registration-initiation,[Brian_Korver]
sgml,application/sgml,[RFC1874]
sgml-open-catalog,application/sgml-open-catalog,[Paul_Grosso]
shf+xml,application/shf+xml,[RFC4194]
sieve,application/sieve,[RFC5228]
simple-filter+xml,application/simple-filter+xml,[RFC4661]
simple-message-summary,application/simple-message-summary,[RFC3842]
simpleSymbolContainer,application/simpleSymbolContainer,[_3GPP]
sipc,application/sipc,[NCGIS][Bryan_Blank]
slate,application/slate,[Terry_Crowley]
smil - OBSOLETED in favor of application/smil+xml,application/smil,[RFC4536]
smil+xml,application/smil+xml,[RFC4536]
smpte336m,application/smpte336m,[RFC6597]
soap+fastinfoset,application/soap+fastinfoset,[ITU-T_ASN.1_Rapporteur]
soap+xml,application/soap+xml,[RFC3902]
sparql-query,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType]
sparql-results+xml,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime]
spirits-event+xml,application/spirits-event+xml,[RFC3910]
sql,application/sql,[RFC6922]
srgs,application/srgs,[RFC4267]
srgs+xml,application/srgs+xml,[RFC4267]
sru+xml,application/sru+xml,[RFC6207]
stix+json,application/stix+json,[OASIS][Chet_Ensign]
ssml+xml,application/ssml+xml,[RFC4267]
tamp-apex-update,application/tamp-apex-update,[RFC5934]
tamp-apex-update-confirm,application/tamp-apex-update-confirm,[RFC5934]
tamp-community-update,application/tamp-community-update,[RFC5934]
tamp-community-update-confirm,application/tamp-community-update-confirm,[RFC5934]
tamp-error,application/tamp-error,[RFC5934]
tamp-sequence-adjust,application/tamp-sequence-adjust,[RFC5934]
tamp-sequence-adjust-confirm,application/tamp-sequence-adjust-confirm,[RFC5934]
tamp-status-query,application/tamp-status-query,[RFC5934]
tamp-status-response,application/tamp-status-response,[RFC5934]
tamp-update,application/tamp-update,[RFC5934]
tamp-update-confirm,application/tamp-update-confirm,[RFC5934]
taxii+json,application/taxii+json,[OASIS][Chet_Ensign]
tei+xml,application/tei+xml,[RFC6129]
TETRA_ISI,application/TETRA_ISI,[ETSI][Miguel_Angel_Reina_Ortega]
thraud+xml,application/thraud+xml,[RFC5941]
timestamp-query,application/timestamp-query,[RFC3161]
timestamp-reply,application/timestamp-reply,[RFC3161]
timestamped-data,application/timestamped-data,[RFC5955]
tlsrpt+gzip,application/tlsrpt+gzip,[RFC8460]
tlsrpt+json,application/tlsrpt+json,[RFC8460]
tnauthlist,application/tnauthlist,[RFC8226]
trickle-ice-sdpfrag,application/trickle-ice-sdpfrag,[RFC-ietf-mmusic-trickle-ice-sip-18]
trig,application/trig,[W3C][W3C_RDF_Working_Group]
ttml+xml,application/ttml+xml,[W3C][W3C_Timed_Text_Working_Group]
tve-trigger,application/tve-trigger,[Linda_Welsh]
tzif,application/tzif,[RFC8536]
tzif-leap,application/tzif-leap,[RFC8536]
ulpfec,application/ulpfec,[RFC5109]
urc-grpsheet+xml,application/urc-grpsheet+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1]
urc-ressheet+xml,application/urc-ressheet+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1]
urc-targetdesc+xml,application/urc-targetdesc+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1]
urc-uisocketdesc+xml,application/urc-uisocketdesc+xml,[Gottfried_Zimmermann]
vcard+json,application/vcard+json,[RFC7095]
vcard+xml,application/vcard+xml,[RFC6351]
vemmi,application/vemmi,[RFC2122]
vnd.1000minds.decision-model+xml,application/vnd.1000minds.decision-model+xml,[Franz_Ombler]
vnd.3gpp.access-transfer-events+xml,application/vnd.3gpp.access-transfer-events+xml,[Frederic_Firmin]
vnd.3gpp.bsf+xml,application/vnd.3gpp.bsf+xml,[John_M_Meredith]
vnd.3gpp.GMOP+xml,application/vnd.3gpp.GMOP+xml,[Frederic_Firmin]
vnd.3gpp.mc-signalling-ear,application/vnd.3gpp.mc-signalling-ear,[Tim_Woodward]
vnd.3gpp.mcdata-affiliation-command+xml,application/vnd.3gpp.mcdata-affiliation-command+xml,[Frederic_Firmin]
vnd.3gpp.mcdata-info+xml,application/vnd.3gpp.mcdata-info+xml,[Frederic_Firmin]
vnd.3gpp.mcdata-payload,application/vnd.3gpp.mcdata-payload,[Frederic_Firmin]
vnd.3gpp.mcdata-service-config+xml,application/vnd.3gpp.mcdata-service-config+xml,[Frederic_Firmin]
vnd.3gpp.mcdata-signalling,application/vnd.3gpp.mcdata-signalling,[Frederic_Firmin]
vnd.3gpp.mcdata-ue-config+xml,application/vnd.3gpp.mcdata-ue-config+xml,[Frederic_Firmin]
vnd.3gpp.mcdata-user-profile+xml,application/vnd.3gpp.mcdata-user-profile+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-affiliation-command+xml,application/vnd.3gpp.mcptt-affiliation-command+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-floor-request+xml,application/vnd.3gpp.mcptt-floor-request+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-info+xml,application/vnd.3gpp.mcptt-info+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-location-info+xml,application/vnd.3gpp.mcptt-location-info+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-mbms-usage-info+xml,application/vnd.3gpp.mcptt-mbms-usage-info+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-service-config+xml,application/vnd.3gpp.mcptt-service-config+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-signed+xml,application/vnd.3gpp.mcptt-signed+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-ue-config+xml,application/vnd.3gpp.mcptt-ue-config+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-ue-init-config+xml,application/vnd.3gpp.mcptt-ue-init-config+xml,[Frederic_Firmin]
vnd.3gpp.mcptt-user-profile+xml,application/vnd.3gpp.mcptt-user-profile+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-affiliation-command+xml,application/vnd.3gpp.mcvideo-affiliation-command+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-affiliation-info+xml - OBSOLETED in favor of application/vnd.3gpp.mcvideo-info+xml,application/vnd.3gpp.mcvideo-affiliation-info+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-info+xml,application/vnd.3gpp.mcvideo-info+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-location-info+xml,application/vnd.3gpp.mcvideo-location-info+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-mbms-usage-info+xml,application/vnd.3gpp.mcvideo-mbms-usage-info+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-service-config+xml,application/vnd.3gpp.mcvideo-service-config+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-transmission-request+xml,application/vnd.3gpp.mcvideo-transmission-request+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-ue-config+xml,application/vnd.3gpp.mcvideo-ue-config+xml,[Frederic_Firmin]
vnd.3gpp.mcvideo-user-profile+xml,application/vnd.3gpp.mcvideo-user-profile+xml,[Frederic_Firmin]
vnd.3gpp.mid-call+xml,application/vnd.3gpp.mid-call+xml,[Frederic_Firmin]
vnd.3gpp.pic-bw-large,application/vnd.3gpp.pic-bw-large,[John_M_Meredith]
vnd.3gpp.pic-bw-small,application/vnd.3gpp.pic-bw-small,[John_M_Meredith]
vnd.3gpp.pic-bw-var,application/vnd.3gpp.pic-bw-var,[John_M_Meredith]
vnd.3gpp-prose-pc3ch+xml,application/vnd.3gpp-prose-pc3ch+xml,[Frederic_Firmin]
vnd.3gpp-prose+xml,application/vnd.3gpp-prose+xml,[Frederic_Firmin]
vnd.3gpp.sms,application/vnd.3gpp.sms,[John_M_Meredith]
vnd.3gpp.sms+xml,application/vnd.3gpp.sms+xml,[Frederic_Firmin]
vnd.3gpp.srvcc-ext+xml,application/vnd.3gpp.srvcc-ext+xml,[Frederic_Firmin]
vnd.3gpp.SRVCC-info+xml,application/vnd.3gpp.SRVCC-info+xml,[Frederic_Firmin]
vnd.3gpp.state-and-event-info+xml,application/vnd.3gpp.state-and-event-info+xml,[Frederic_Firmin]
vnd.3gpp.ussd+xml,application/vnd.3gpp.ussd+xml,[Frederic_Firmin]
vnd.3gpp-v2x-local-service-information,application/vnd.3gpp-v2x-local-service-information,[Frederic_Firmin]
vnd.3gpp2.bcmcsinfo+xml,application/vnd.3gpp2.bcmcsinfo+xml,[Andy_Dryden]
vnd.3gpp2.sms,application/vnd.3gpp2.sms,[AC_Mahendran]
vnd.3gpp2.tcap,application/vnd.3gpp2.tcap,[AC_Mahendran]
vnd.3lightssoftware.imagescal,application/vnd.3lightssoftware.imagescal,[Gus_Asadi]
vnd.3M.Post-it-Notes,application/vnd.3M.Post-it-Notes,[Michael_OBrien]
vnd.accpac.simply.aso,application/vnd.accpac.simply.aso,[Steve_Leow]
vnd.accpac.simply.imp,application/vnd.accpac.simply.imp,[Steve_Leow]
vnd.acucobol,application/vnd.acucobol,[Dovid_Lubin]
vnd.acucorp,application/vnd.acucorp,[Dovid_Lubin]
vnd.adobe.flash.movie,application/vnd.adobe.flash.movie,[Henrik_Andersson]
vnd.adobe.formscentral.fcdt,application/vnd.adobe.formscentral.fcdt,[Chris_Solc]
vnd.adobe.fxp,application/vnd.adobe.fxp,[Robert_Brambley][Steven_Heintz]
vnd.adobe.partial-upload,application/vnd.adobe.partial-upload,[Tapani_Otala]
vnd.adobe.xdp+xml,application/vnd.adobe.xdp+xml,[John_Brinkman]
vnd.adobe.xfdf,application/vnd.adobe.xfdf,[Roberto_Perelman]
vnd.aether.imp,application/vnd.aether.imp,[Jay_Moskowitz]
vnd.afpc.afplinedata,application/vnd.afpc.afplinedata,[Jörg_Palmer]
vnd.afpc.modca,application/vnd.afpc.modca,[Jörg_Palmer]
vnd.ah-barcode,application/vnd.ah-barcode,[Katsuhiko_Ichinose]
vnd.ahead.space,application/vnd.ahead.space,[Tor_Kristensen]
vnd.airzip.filesecure.azf,application/vnd.airzip.filesecure.azf,[Daniel_Mould][Gary_Clueit]
